1, 0.000000
2, 0.000000
3, 0.000001
4, 0.000001
5, 0.000001
6, 0.000001
7, 0.000002
8, 0.000004
9, 0.000005
10, 0.000007
11, 0.000010
12, 0.000013
13, 0.000016
14, 0.000020
15, 0.000023
16, 0.000028
17, 0.000033
18, 0.000043
19, 0.000047
20, 0.000055
21, 0.000063
22, 0.000072
23, 0.000083
24, 0.000094
25, 0.000105
26, 0.000120
27, 0.000134
28, 0.000149
29, 0.000164
30, 0.000182
31, 0.000216
32, 0.000240
33, 0.000273
34, 0.000280
35, 0.000303
36, 0.000331
37, 0.000361
38, 0.000387
39, 0.000419
40, 0.000451
41, 0.000458
42, 0.000431
43, 0.000456
44, 0.000536
45, 0.000701
46, 0.000555
47, 0.000591
48, 0.000609
49, 0.000612
50, 0.000848
51, 0.000852
52, 0.000928
53, 0.000777
54, 0.000749
55, 0.000794
56, 0.000834
57, 0.000880
58, 0.000958
59, 0.001056
60, 0.001309
61, 0.001248
62, 0.001335
63, 0.001635
64, 0.001219
65, 0.001341
66, 0.001356
67, 0.001450
68, 0.001436
69, 0.001499
70, 0.001612
71, 0.001698
72, 0.001703
73, 0.001789
74, 0.001940
75, 0.001918
76, 0.002013
77, 0.002136
78, 0.002299
79, 0.002250
80, 0.002626
81, 0.002422
82, 0.002586
83, 0.002601
84, 0.003460
85, 0.003586
86, 0.003118
87, 0.004107
88, 0.003097
89, 0.003396
90, 0.003353
91, 0.005088
92, 0.005715
93, 0.004493
94, 0.005839
95, 0.005767
96, 0.004126
97, 0.007162
98, 0.005783
99, 0.004599
100, 0.004633
