N,time,numpy time,sum
1,1.0013580322265625e-05,1.5974044799804688e-05,0.0
2,0.0001239776611328125,7.081031799316406e-05,20.0
3,7.176399230957031e-05,1.0967254638671875e-05,450.0
4,0.0002770423889160156,2.6226043701171875e-05,3680.0
5,0.0002837181091308594,7.867813110351562e-06,18250.0
6,0.0006377696990966797,1.7881393432617188e-05,66780.0
7,0.0008170604705810547,1.71661376953125e-05,198940.0
8,0.0011560916900634766,1.5735626220703125e-05,510720.0
9,0.0032739639282226562,2.5987625122070312e-05,1171260.0
10,0.0067768096923828125,3.2901763916015625e-05,2458500.0
11,0.0020859241485595703,1.5735626220703125e-05,4804910.0
12,0.0032072067260742188,2.4080276489257812e-05,8854560.0
13,0.0065729618072509766,3.600120544433594e-05,15532790.0
14,0.01018071174621582,8.0108642578125e-05,26129740.0
15,0.008484125137329102,3.1948089599609375e-05,42399000.0
16,0.006381988525390625,2.002716064453125e-05,66672640.0
17,0.009633064270019531,3.0994415283203125e-05,101993880.0
18,0.010782957077026367,3.600120544433594e-05,152268660.0
19,0.018468141555786133,3.910064697265625e-05,222437370.0
20,0.019657135009765625,3.361701965332031e-05,318668000.0
21,0.014408111572265625,3.075599670410156e-05,448571970.0
22,0.016186952590942383,2.8133392333984375e-05,621443900.0
23,0.02725696563720703,4.291534423828125e-05,848526580.0
24,0.02172684669494629,5.0067901611328125e-05,1143302400.0
25,0.028590917587280273,3.6716461181640625e-05,1521812500.0
26,0.07568526268005371,4.7206878662109375e-05,2003004900.0
27,0.12125205993652344,3.600120544433594e-05,2609112870.0
28,0.09988808631896973,5.078315734863281e-05,3366064800.0
29,0.07020115852355957,3.933906555175781e-05,4303926830.0
30,0.043634891510009766,3.910064697265625e-05,5457379500.0
31,0.04359102249145508,3.3855438232421875e-05,6866229680.0
32,0.05291581153869629,5.1975250244140625e-05,8575959040.0
33,0.05331683158874512,4.506111145019531e-05,10638310320.0
34,0.05561685562133789,4.1961669921875e-05,13111912660.0
35,0.06579995155334473,4.7206878662109375e-05,16062947250.0
36,0.07486271858215332,3.886222839355469e-05,19565854560.0
37,0.07660079002380371,4.6253204345703125e-05,23704084410.0
38,0.08481788635253906,4.38690185546875e-05,28570890140.0
39,0.09960174560546875,4.9114227294921875e-05,34270168140.0
40,0.10698986053466797,5.602836608886719e-05,40917344000.0
41,0.10989999771118164,4.9114227294921875e-05,48640306540.0
42,0.12202906608581543,5.1975250244140625e-05,57580390980.0
43,0.13261914253234863,5.7697296142578125e-05,67893412510.0
44,0.13576912879943848,5.412101745605469e-05,79750751520.0
45,0.14138412475585938,5.412101745605469e-05,93340491750.0
46,0.16156625747680664,6.604194641113281e-05,108868612620.0
47,0.18300390243530273,6.079673767089844e-05,126560237000.0
48,0.21404695510864258,5.602836608886719e-05,146660935680.0
49,0.20729613304138184,5.698204040527344e-05,169438089800.0
50,0.22887897491455078,6.198883056640625e-05,195182312500.0
51,0.25779294967651367,0.0008521080017089844,224208931050.0
52,0.2885141372680664,8.606910705566406e-05,256859530720.0
53,0.2740797996520996,6.818771362304688e-05,293503561650.0
54,0.28798699378967285,9.608268737792969e-05,334540009980.0
55,0.30463504791259766,7.200241088867188e-05,380399134500.0
56,0.3198821544647217,7.605552673339844e-05,431544270080.0
57,0.3266868591308594,7.200241088867188e-05,488473699140.0
58,0.35243701934814453,7.081031799316406e-05,551722592420.0
59,0.3624699115753174,7.176399230957031e-05,621865020310.0
60,0.3654210567474365,0.00011587142944335938,699516036000.0
61,0.4174320697784424,8.106231689453125e-05,785333831710.0
62,0.42397212982177734,7.796287536621094e-05,880021969260.0
63,0.45122361183166504,8.511543273925781e-05,984331686240.0
64,0.454974889755249,0.0002257823944091797,1099064279040.0
65,0.4956822395324707,0.0002300739288330078,1225073564000.0
66,0.538740873336792,0.00011610984802246094,1363268417940.0
67,0.6408491134643555,0.0003840923309326172,1514615399330.0
68,0.8133270740509033,0.0001399517059326172,1680141451360.0
69,0.7474696636199951,0.00012683868408203125,1860936688170.0
70,0.7343590259552002,0.00015282630920410156,2058157265500.0
71,0.7197718620300293,0.00011587142944335938,2273028337020.0
72,0.7596890926361084,0.00014495849609375,2506847097600.0
73,0.7524852752685547,0.00014281272888183594,2760985914780.0
74,0.813385009765625,0.00015306472778320312,3036895549700.0
75,0.8828339576721191,0.00012683868408203125,3336108468750.0
76,0.8822939395904541,0.00014901161193847656,3660242247200.0
77,0.879213809967041,0.00017523765563964844,4011003066070.0
78,0.9751691818237305,0.0001709461212158203,4390189303500.0
79,0.9094898700714111,0.00015687942504882812,4799695221880.0
80,0.9486498832702637,0.00015211105346679688,5241514752000.0
81,0.9420537948608398,0.00013017654418945312,5717745375480.0
82,0.9974007606506348,0.0002110004425048828,6230592106740.0
83,1.1571669578552246,0.0001499652862548828,6782371575770.0
84,1.1393721103668213,0.00014209747314453125,7375516212960.0
85,1.097032070159912,0.0001552104949951172,8012578537250.0
86,1.0671710968017578,0.0001590251922607422,8696235548860.0
87,1.3247461318969727,0.0001647472381591797,9429293227860.0
88,1.3048570156097412,0.00015997886657714844,10214691139840.0
89,1.272183895111084,0.00015425682067871094,11055507149940.0
90,1.340968132019043,0.000640869140625,11954962246500.0
91,1.4778108596801758,0.00017571449279785156,12916425475590.0
92,1.5591046810150146,0.0001900196075439453,13943418987680.0
93,1.483483076095581,0.0001819133758544922,15039623197710.0
94,1.4855480194091797,0.00018906593322753906,16208882059820.0
95,1.5090420246124268,0.00019097328186035156,17455208458000.0
96,1.5698168277740479,0.00015878677368164062,18782789713920.0
97,1.5603878498077393,0.00017881393432617188,20195993213200.0
98,1.6145918369293213,0.000186920166015625,21699372151380.0
99,1.6995372772216797,0.0002968311309814453,23297671400850.0
100,1.761746883392334,0.0002532005310058594,24995833500000.0
